Soil_Type,Crop_Type,Nitrogen,Phosphorus,Potassium,pH,Moisture,Temperature,Humidity,Fertilizer
Clayey,Cotton,116,23,50,6.3,35.2,36.0,64.5,DAP
Black,Pulses,28,31,44,6.7,50.3,21.2,82.3,28-28-0
Clayey,Cotton,53,91,57,7.0,66.2,33.9,55.9,Urea
Red,Millets,61,64,58,7.8,31.4,27.7,41.7,17-17-17
Sandy,Sugarcane,88,7,55,5.5,35.2,33.0,49.0,DAP
Red,Sugarcane,73,17,91,7.7,58.2,37.4,50.1,DAP
Sandy,Maize,51,43,20,6.6,34.1,32.8,76.8,10-26-26
Sandy,Millets,46,78,36,6.7,44.0,29.8,46.7,Urea
Loamy,Maize,52,56,29,6.6,49.1,24.8,68.3,Urea
Sandy,Wheat,109,92,70,6.6,50.4,21.8,63.1,17-17-17
Black,Millets,61,85,38,8.1,31.3,34.5,45.5,17-17-17
Sandy,Pulses,85,67,53,6.0,58.3,22.6,49.6,17-17-17
Loamy,Groundnut,72,22,87,6.7,50.3,25.6,61.7,DAP
Black,Cotton,8,92,63,6.8,73.5,20.2,71.7,Urea
Loamy,Chickpea,84,10,17,6.4,46.5,29.6,64.3,DAP
Black,Chickpea,72,48,27,6.0,68.3,27.1,45.9,DAP
Black,Maize,118,20,87,8.3,40.6,29.0,43.2,DAP
Clayey,Chickpea,57,79,9,5.6,34.3,24.5,47.3,10-26-26
Loamy,Rice,37,66,54,6.2,55.3,27.7,79.5,Urea
Black,Pulses,37,17,88,6.6,35.3,32.2,43.2,DAP
Black,Sugarcane,67,78,61,6.5,74.5,34.1,67.0,17-17-17
Clayey,Millets,32,66,45,7.1,30.2,28.1,84.0,Urea
Clayey,Wheat,7,14,93,6.7,42.3,32.7,59.0,28-28-0
Clayey,Chickpea,43,95,33,7.3,73.4,25.2,69.6,Urea
Red,Sugarcane,115,70,34,7.4,55.0,25.4,44.1,17-17-17
Clayey,Wheat,100,52,74,6.9,53.2,32.7,56.8,DAP
Black,Pulses,30,93,14,8.3,68.3,24.9,66.9,10-26-26
Black,Wheat,102,34,29,7.3,35.1,33.3,79.7,14-35-14
Loamy,Rice,14,40,77,8.3,52.1,26.9,82.1,Urea
Loamy,Sugarcane,89,29,32,8.2,41.4,29.0,73.4,DAP
Sandy,Cotton,47,45,46,6.2,74.8,29.2,59.7,17-17-17
Red,Maize,56,51,67,5.7,65.9,23.7,69.4,Urea
Loamy,Rice,54,71,66,6.6,70.6,20.3,43.5,Urea
Black,Rice,23,40,63,8.2,41.7,30.7,56.7,Urea
Black,Millets,55,85,77,7.1,61.9,31.1,73.4,Urea
Black,Sugarcane,13,86,60,8.2,43.4,29.7,52.1,Urea
Clayey,Wheat,40,41,83,6.8,60.3,31.3,51.2,20-20-0
Clayey,Maize,90,11,65,6.1,54.9,29.0,75.3,DAP
Red,Sugarcane,5,42,89,5.5,60.6,23.8,52.6,Urea
Loamy,Wheat,88,87,39,7.9,69.1,23.3,69.9,17-17-17
Sandy,Cotton,29,25,65,7.2,47.2,20.1,81.6,28-28-0
Loamy,Cotton,114,53,62,7.9,65.5,34.9,49.7,DAP
Loamy,Groundnut,43,26,45,8.0,28.9,25.7,80.7,DAP
Sandy,Sugarcane,61,90,77,7.7,67.9,32.2,77.7,17-17-17
Sandy,Wheat,108,89,70,6.8,49.5,33.0,57.3,17-17-17
Red,Wheat,111,36,46,5.6,29.2,29.3,47.3,DAP
Clayey,Chickpea,32,15,82,7.1,36.1,26.4,44.7,DAP
Black,Groundnut,13,51,37,8.5,53.6,26.0,73.7,Urea
Black,Rice,102,17,5,6.1,62.7,32.2,58.5,DAP
Sandy,Maize,33,43,92,5.9,55.3,29.6,45.2,Urea
Sandy,Rice,57,69,66,7.0,35.2,27.1,80.3,Urea
Black,Rice,36,30,20,7.4,53.0,21.2,61.3,10-26-26
Red,Pulses,45,55,75,8.1,48.3,32.6,73.9,Urea
Black,Chickpea,34,61,22,5.7,48.3,35.4,79.7,10-26-26
Clayey,Chickpea,40,83,96,7.1,44.5,21.2,79.5,Urea
Loamy,Cotton,24,68,97,8.5,50.7,37.7,60.3,Urea
Black,Chickpea,8,64,79,7.6,55.4,21.3,72.8,Urea
Loamy,Maize,52,29,40,5.8,29.8,26.7,68.4,DAP
Loamy,Millets,62,85,87,7.9,62.6,30.5,75.2,17-17-17
Red,Groundnut,91,99,7,8.2,62.5,23.5,80.1,10-26-26
Clayey,Wheat,46,65,17,6.0,56.6,36.0,66.0,10-26-26
Black,Sugarcane,14,48,15,8.1,68.1,23.3,67.0,10-26-26
Clayey,Rice,100,66,42,7.5,66.1,32.5,57.2,17-17-17
Black,Pulses,32,25,17,6.3,41.2,36.9,68.6,DAP
Clayey,Cotton,74,92,88,7.8,63.9,31.9,76.7,17-17-17
Red,Wheat,74,25,39,6.3,26.6,26.6,59.5,DAP
Red,Wheat,63,33,75,8.2,41.2,20.7,70.0,DAP
Sandy,Millets,42,52,31,7.2,37.5,34.9,78.0,Urea
Red,Cotton,113,95,39,8.1,65.3,25.9,73.7,17-17-17
Black,Rice,52,39,90,7.2,64.2,20.4,56.2,Urea
Clayey,Sugarcane,62,7,84,7.0,31.6,32.7,53.9,DAP
Sandy,Wheat,23,47,70,7.4,28.5,27.2,57.6,Urea
Red,Pulses,32,73,67,6.6,44.0,30.3,79.1,Urea
Black,Wheat,42,29,18,6.9,68.1,28.0,62.2,DAP
Black,Maize,9,91,45,6.0,72.1,32.2,56.8,Urea
Loamy,Pulses,69,19,80,7.9,62.4,21.3,65.0,DAP
Clayey,Sugarcane,116,37,63,5.6,33.5,32.0,77.7,DAP
Red,Millets,81,70,41,6.7,49.4,37.3,64.1,17-17-17
Clayey,Rice,26,24,12,6.6,54.6,36.6,66.2,14-35-14
Clayey,Millets,66,11,84,8.1,69.0,21.5,67.3,DAP
Black,Millets,88,41,85,8.5,65.1,33.3,52.9,DAP
Loamy,Groundnut,107,57,16,6.5,28.1,28.4,78.1,10-26-26
Loamy,Rice,54,75,62,6.7,29.3,35.3,82.2,Urea
Black,Maize,105,88,7,6.0,30.0,28.4,52.1,10-26-26
Loamy,Wheat,114,68,12,7.9,38.9,37.4,59.8,10-26-26
Red,Millets,40,30,90,6.4,42.7,34.9,56.5,20-20-0
Clayey,Cotton,6,35,15,5.7,32.7,26.2,78.9,10-26-26
Clayey,Wheat,66,91,21,6.3,56.2,29.1,46.5,10-26-26
Clayey,Rice,17,93,52,6.9,45.9,34.8,42.6,Urea
Black,Maize,43,17,85,5.6,35.0,37.9,69.9,DAP
Red,Pulses,80,48,42,7.5,48.5,20.3,63.5,DAP
Red,Chickpea,72,63,93,6.5,45.3,26.5,78.7,17-17-17
Sandy,Millets,64,94,18,7.7,50.5,36.0,76.8,10-26-26
Red,Sugarcane,67,42,96,6.3,62.1,37.5,82.0,DAP
Black,Wheat,42,76,76,6.4,66.3,23.9,48.2,Urea
Black,Pulses,97,73,66,7.7,41.9,36.9,80.2,17-17-17
Loamy,Cotton,26,8,17,7.1,51.0,20.5,51.4,14-35-14
Loamy,Maize,19,81,21,6.9,32.6,31.3,73.8,10-26-26
Clayey,Millets,63,94,63,7.3,72.2,24.3,82.7,17-17-17
Sandy,Groundnut,86,21,34,7.0,32.7,28.4,74.2,DAP
Sandy,Groundnut,89,98,25,6.0,66.4,33.9,57.9,17-17-17
Loamy,Groundnut,99,57,91,7.0,70.5,29.2,67.7,DAP
Loamy,Cotton,79,84,13,7.9,74.8,35.4,81.8,10-26-26
Sandy,Rice,69,46,66,6.0,39.1,22.0,67.4,DAP
Black,Chickpea,89,89,44,7.2,35.5,30.2,69.3,17-17-17
Clayey,Groundnut,53,15,92,5.8,46.6,25.7,73.7,DAP
Sandy,Rice,21,10,23,6.3,71.7,37.3,70.1,14-35-14
Red,Millets,94,53,47,7.7,69.2,35.3,82.6,DAP
Clayey,Cotton,64,87,62,6.5,52.2,28.2,70.5,17-17-17
Black,Chickpea,80,76,92,7.1,74.6,35.3,44.0,17-17-17
Red,Maize,35,92,18,7.6,37.0,23.6,47.4,10-26-26
Clayey,Pulses,24,68,14,8.2,28.0,23.4,40.2,10-26-26
Black,Chickpea,39,80,57,7.9,72.1,25.3,45.2,Urea
Clayey,Maize,5,93,70,7.6,40.7,36.1,80.9,Urea
Clayey,Chickpea,101,42,19,6.0,66.1,30.9,78.8,10-26-26
Loamy,Cotton,116,51,91,8.2,52.3,23.0,45.2,DAP
Black,Cotton,71,44,14,7.5,53.3,36.8,76.9,10-26-26
Red,Pulses,113,57,59,5.8,65.0,20.2,77.2,DAP
Black,Wheat,69,64,55,7.3,28.4,37.7,49.7,17-17-17
Clayey,Groundnut,96,98,77,6.2,53.1,34.2,73.7,17-17-17
Clayey,Groundnut,80,5,59,5.7,27.5,27.8,55.6,DAP
Sandy,Sugarcane,25,83,85,6.6,53.9,31.1,51.4,Urea
Black,Sugarcane,94,17,21,6.5,65.3,26.3,56.3,DAP
Loamy,Sugarcane,76,65,19,6.0,53.3,26.5,81.1,10-26-26
Sandy,Sugarcane,10,73,90,8.3,40.2,26.9,60.7,Urea
Loamy,Rice,63,68,22,6.2,40.6,30.8,82.2,10-26-26
Loamy,Cotton,19,23,67,6.2,36.2,36.7,78.0,28-28-0
Loamy,Chickpea,48,28,65,8.3,59.1,31.7,50.4,DAP
Black,Rice,18,41,83,7.1,62.5,37.3,60.0,Urea
Black,Cotton,100,70,35,6.2,32.8,20.5,80.8,17-17-17
Black,Chickpea,112,61,84,5.7,66.8,24.7,54.1,17-17-17
Clayey,Chickpea,102,47,49,6.7,64.0,25.7,41.9,DAP
Sandy,Groundnut,97,27,10,5.8,36.9,20.1,82.4,DAP
Clayey,Maize,67,71,15,6.5,53.7,29.3,53.9,10-26-26
Red,Rice,74,39,26,8.1,35.5,25.8,50.5,14-35-14
Red,Rice,13,64,80,7.8,47.7,26.9,67.9,Urea
Loamy,Groundnut,51,73,51,5.7,34.9,27.8,53.7,Urea
Loamy,Cotton,82,62,98,7.8,45.9,22.9,47.7,17-17-17
Loamy,Groundnut,79,15,89,5.7,41.8,20.9,47.2,DAP
Sandy,Wheat,46,86,58,6.3,39.0,25.5,51.9,Urea
Black,Rice,112,51,52,5.5,54.2,27.1,41.3,DAP
Clayey,Cotton,67,50,67,7.8,53.3,21.1,64.1,DAP
Red,Millets,40,89,12,6.2,65.3,27.7,77.5,10-26-26
Clayey,Wheat,34,27,20,8.1,41.9,21.7,60.3,DAP
Sandy,Groundnut,51,50,56,7.0,61.4,35.7,74.2,17-17-17
Sandy,Chickpea,24,29,74,6.0,63.0,30.3,76.2,28-28-0
Clayey,Cotton,49,23,91,5.6,27.8,27.4,70.6,DAP
Sandy,Maize,115,40,77,6.5,42.2,24.4,83.9,DAP
Black,Groundnut,13,36,8,8.0,58.6,27.4,50.8,10-26-26
Clayey,Maize,72,97,48,5.7,51.8,20.8,69.5,17-17-17
Sandy,Maize,98,35,39,8.4,74.4,37.9,47.0,DAP
Sandy,Pulses,14,6,70,7.4,48.4,35.6,53.0,28-28-0
Loamy,Millets,92,5,15,6.8,26.2,29.0,69.0,DAP
Sandy,Groundnut,101,79,96,5.6,65.9,34.0,40.7,17-17-17
Red,Rice,23,30,79,7.0,55.1,34.1,75.6,28-28-0
Clayey,Millets,117,58,70,7.5,41.2,32.1,78.1,DAP
Clayey,Rice,14,64,46,7.8,38.8,30.4,59.3,Urea
Loamy,Millets,84,26,61,5.7,35.9,31.3,73.6,DAP
Clayey,Cotton,70,16,44,6.9,42.1,20.8,73.0,DAP
Red,Pulses,43,64,70,8.0,65.3,20.5,68.0,Urea
Black,Rice,82,70,33,7.5,39.8,29.9,47.9,17-17-17
Red,Wheat,105,22,92,7.1,43.1,23.0,41.1,DAP
Clayey,Maize,82,84,65,6.4,60.7,27.3,46.4,17-17-17
Loamy,Cotton,27,20,63,7.2,55.7,25.5,77.7,28-28-0
Red,Wheat,16,20,85,5.6,47.1,25.9,45.7,28-28-0
Sandy,Groundnut,115,48,9,8.0,29.7,26.2,46.1,10-26-26
Black,Cotton,96,87,58,6.5,25.7,25.4,80.1,17-17-17
Sandy,Groundnut,29,99,26,5.8,50.7,37.2,65.5,Urea
Sandy,Maize,48,91,79,6.9,44.5,37.8,50.2,Urea
Black,Groundnut,69,62,57,7.2,74.8,29.6,79.3,17-17-17
Loamy,Rice,37,7,64,7.6,54.6,28.8,78.7,DAP
Sandy,Chickpea,8,23,95,7.8,60.0,30.4,71.2,28-28-0
Red,Pulses,76,46,94,6.1,67.5,28.0,67.8,DAP
Clayey,Chickpea,116,43,55,7.5,63.6,25.4,52.5,DAP
Black,Groundnut,68,10,50,7.0,27.1,31.5,76.9,DAP
Loamy,Cotton,51,11,15,7.2,65.5,31.0,80.4,DAP
Sandy,Groundnut,55,41,50,6.5,63.5,37.9,71.5,Urea
Loamy,Wheat,8,79,53,8.4,40.2,37.6,77.5,Urea
Clayey,Groundnut,32,61,30,5.9,37.5,27.4,82.1,Urea
Sandy,Pulses,21,71,84,7.5,33.1,26.1,62.8,Urea
Sandy,Cotton,51,57,68,5.5,74.3,35.7,60.3,17-17-17
Red,Sugarcane,85,86,45,7.7,45.7,27.1,60.5,17-17-17
Sandy,Pulses,64,38,8,6.0,39.9,22.0,79.1,10-26-26
Red,Rice,77,65,39,7.3,52.6,23.8,42.6,17-17-17
Sandy,Millets,36,82,22,7.5,51.5,24.6,53.3,10-26-26
Black,Chickpea,94,52,43,8.3,29.0,27.8,66.8,DAP
Red,Pulses,40,22,94,8.2,64.6,23.6,54.2,DAP
Sandy,Wheat,74,48,76,6.0,73.5,22.2,79.4,DAP
Black,Millets,37,78,16,7.5,71.8,29.3,66.1,10-26-26
Black,Sugarcane,111,66,19,6.2,25.6,26.2,79.3,10-26-26
Red,Maize,86,42,41,6.1,31.4,20.4,45.2,DAP
Red,Rice,117,97,92,7.3,66.3,20.9,76.9,17-17-17
Clayey,Sugarcane,59,20,99,7.3,64.2,34.9,68.4,DAP
Red,Groundnut,26,36,73,5.6,48.9,27.5,40.6,Urea
Sandy,Groundnut,19,75,33,7.5,36.3,33.7,63.6,Urea
Black,Chickpea,42,81,97,6.7,54.9,33.4,51.0,Urea
Black,Chickpea,89,71,49,7.0,32.3,26.9,77.8,17-17-17
Sandy,Millets,75,19,75,5.8,37.9,37.9,49.1,DAP
Clayey,Sugarcane,111,84,76,5.6,57.3,23.3,64.4,17-17-17
Loamy,Millets,116,82,45,5.9,31.3,21.4,47.6,17-17-17
Loamy,Cotton,66,17,47,5.6,61.4,21.1,71.1,DAP
Black,Maize,115,13,88,6.7,57.1,20.1,70.2,DAP
Red,Rice,84,28,52,7.3,72.8,23.2,44.4,DAP
Sandy,Groundnut,70,78,49,7.9,34.0,24.3,44.4,17-17-17
Red,Maize,39,57,30,7.8,42.5,21.3,52.6,Urea
Sandy,Sugarcane,27,60,23,8.4,45.5,24.0,58.0,10-26-26
Red,Maize,56,53,41,8.0,53.9,33.2,58.9,Urea
Clayey,Chickpea,58,26,20,7.4,58.8,31.7,60.7,DAP
Red,Chickpea,30,89,29,7.2,61.5,37.9,40.5,Urea
Loamy,Pulses,100,34,81,7.6,61.5,26.4,53.6,DAP
Loamy,Maize,92,51,44,6.2,40.8,31.8,48.9,DAP
Clayey,Chickpea,113,61,35,6.5,60.0,28.5,41.9,17-17-17
Clayey,Wheat,96,21,32,6.5,47.0,29.2,45.9,DAP
Clayey,Pulses,42,10,49,6.4,49.8,25.2,40.3,DAP
Black,Maize,117,92,39,7.4,29.6,23.1,61.2,17-17-17
Red,Rice,20,97,23,7.3,31.1,25.0,62.3,10-26-26
Black,Groundnut,101,38,84,6.5,37.8,31.0,53.3,DAP
Clayey,Millets,100,52,43,6.8,54.4,25.5,65.0,DAP
Red,Pulses,8,67,44,7.3,43.0,30.4,40.7,Urea
Sandy,Pulses,56,73,9,6.0,26.0,34.4,82.0,10-26-26
Clayey,Cotton,65,99,12,7.7,25.9,35.9,76.7,10-26-26
Loamy,Chickpea,40,17,16,5.6,70.2,22.5,40.0,DAP
Clayey,Wheat,64,27,44,7.5,50.6,36.4,41.8,DAP
Sandy,Groundnut,93,35,54,7.8,64.1,36.8,53.7,DAP
Red,Cotton,96,74,71,6.8,73.3,21.0,48.2,17-17-17
Clayey,Chickpea,64,87,66,6.7,56.8,23.7,54.1,17-17-17
Loamy,Millets,53,87,11,8.0,69.8,26.7,73.8,10-26-26
Loamy,Chickpea,96,84,87,6.2,30.5,21.1,61.9,17-17-17
Sandy,Rice,28,22,91,5.9,63.2,35.5,78.6,28-28-0
Sandy,Sugarcane,119,32,7,6.2,58.5,25.9,42.4,10-26-26
Sandy,Sugarcane,98,63,76,7.5,41.4,22.5,82.9,17-17-17
Red,Chickpea,33,67,76,8.5,65.2,25.2,75.2,Urea
Red,Millets,5,95,84,8.1,40.4,31.2,68.7,Urea
Red,Sugarcane,67,41,63,7.4,58.8,23.5,76.9,DAP
Black,Rice,103,18,67,8.3,71.6,34.3,84.2,DAP
Red,Rice,83,83,74,8.2,45.4,33.1,45.1,17-17-17
Red,Maize,102,92,65,8.1,56.5,24.2,71.3,17-17-17
Loamy,Cotton,97,86,75,7.1,37.8,24.0,42.5,17-17-17
Sandy,Groundnut,105,82,93,6.9,44.8,27.5,42.8,17-17-17
Sandy,Millets,54,47,21,8.2,65.9,28.4,58.5,10-26-26
Clayey,Groundnut,93,73,73,6.4,62.3,36.8,69.7,17-17-17
Black,Cotton,13,90,68,6.2,45.9,21.0,49.2,Urea
Clayey,Sugarcane,69,5,92,7.7,28.4,23.0,45.4,DAP
Red,Cotton,110,59,64,7.6,62.2,24.4,43.3,DAP
Clayey,Sugarcane,22,58,81,6.7,26.9,21.0,48.5,Urea
Sandy,Rice,58,34,62,7.8,68.9,32.4,76.7,Urea
Black,Cotton,69,72,53,6.3,53.1,34.5,54.4,17-17-17
Clayey,Cotton,80,46,55,5.5,42.3,21.8,71.8,DAP
Black,Millets,58,28,51,8.5,28.4,20.3,80.7,DAP
Black,Groundnut,97,26,79,6.6,36.2,27.7,42.8,DAP
Sandy,Cotton,22,21,42,6.5,67.0,33.3,64.2,28-28-0
Loamy,Groundnut,61,48,39,6.4,60.9,35.2,81.2,DAP
Sandy,Maize,5,95,25,6.0,30.9,20.8,78.9,Urea
Red,Wheat,104,78,68,5.8,35.6,27.9,61.7,17-17-17
Loamy,Rice,38,50,72,7.0,55.3,34.5,84.1,Urea
Black,Groundnut,26,36,88,8.0,47.4,32.6,48.7,Urea
Sandy,Rice,27,30,81,6.1,36.0,27.2,75.7,28-28-0
Red,Groundnut,95,61,73,8.1,60.0,37.5,73.1,17-17-17
Clayey,Maize,30,39,83,7.8,44.1,22.0,84.2,Urea
Sandy,Chickpea,36,35,86,8.2,70.9,22.6,82.2,28-28-0
Loamy,Groundnut,75,94,34,6.6,56.8,26.0,54.1,17-17-17
Sandy,Cotton,46,55,68,6.2,34.8,26.9,46.0,17-17-17
Loamy,Millets,63,62,6,6.1,60.6,29.5,74.2,10-26-26
Clayey,Cotton,67,94,79,5.6,59.2,35.9,55.4,17-17-17
Sandy,Pulses,114,21,92,7.1,35.1,26.5,43.9,DAP
Loamy,Wheat,85,21,54,6.4,31.2,20.1,61.8,DAP
Clayey,Millets,113,21,22,7.2,69.2,33.3,64.6,DAP
Sandy,Cotton,8,86,24,5.8,69.5,30.8,49.1,10-26-26
Black,Millets,23,94,56,6.1,50.0,21.0,54.1,Urea
Clayey,Pulses,70,46,23,7.0,47.2,26.2,83.3,10-26-26
Red,Rice,59,30,76,6.8,42.1,33.7,76.5,Urea
Red,Cotton,65,58,66,7.9,62.1,36.9,68.0,DAP
Loamy,Rice,107,96,10,7.3,44.4,20.4,42.8,10-26-26
Loamy,Cotton,49,88,67,7.0,54.8,23.9,45.1,Urea
Red,Chickpea,53,16,94,7.9,55.7,29.6,57.8,DAP
Sandy,Rice,52,44,70,7.0,58.3,31.1,70.6,Urea
Sandy,Pulses,63,50,7,6.0,52.5,31.9,77.8,10-26-26
Red,Groundnut,48,10,81,6.4,45.9,32.6,78.5,DAP
Clayey,Cotton,75,52,23,6.7,54.9,25.9,76.7,10-26-26
Red,Sugarcane,15,19,68,8.0,63.8,35.7,44.0,28-28-0
Clayey,Chickpea,74,21,30,5.9,31.0,33.3,75.5,DAP
Sandy,Wheat,18,18,14,7.7,71.4,35.1,71.7,14-35-14
Red,Sugarcane,71,66,99,5.8,66.1,21.7,64.0,17-17-17
Loamy,Chickpea,90,8,86,6.6,33.3,30.2,67.0,DAP
Black,Wheat,55,15,67,6.1,54.6,36.6,74.3,DAP
Red,Pulses,14,89,88,7.1,41.7,28.8,63.8,Urea
Red,Millets,89,90,25,6.8,57.9,21.5,59.6,17-17-17
Red,Maize,65,48,90,7.7,41.4,36.6,62.6,DAP
Clayey,Groundnut,76,25,74,6.5,28.2,20.9,68.1,DAP
Loamy,Wheat,61,80,52,5.7,46.5,24.3,61.8,17-17-17
Red,Pulses,61,56,91,7.9,48.3,26.8,84.2,DAP
Loamy,Groundnut,39,55,22,5.6,46.1,35.2,51.8,10-26-26
Sandy,Millets,70,62,94,8.5,45.2,35.9,50.4,17-17-17
Loamy,Cotton,105,98,23,7.4,39.3,30.8,71.5,10-26-26
Black,Groundnut,12,22,61,5.7,71.2,25.1,54.3,28-28-0
Clayey,Wheat,62,80,6,8.1,42.2,29.8,51.2,10-26-26
Sandy,Maize,94,92,80,6.7,25.5,35.5,71.3,17-17-17
Red,Groundnut,56,81,45,6.1,51.9,34.4,47.2,Urea
Clayey,Wheat,103,19,89,6.7,58.5,35.2,61.4,DAP
Loamy,Sugarcane,89,95,44,8.5,72.2,23.8,71.3,17-17-17
Black,Groundnut,57,29,48,7.2,46.3,23.7,74.6,DAP
Loamy,Wheat,60,73,81,6.7,70.7,21.6,64.2,17-17-17
Clayey,Groundnut,57,37,75,6.8,30.0,28.8,76.6,Urea
Loamy,Millets,42,19,9,7.9,35.2,33.8,81.8,DAP
Black,Chickpea,40,29,91,5.6,70.9,23.7,83.0,DAP
Red,Maize,67,82,8,7.7,67.5,31.3,68.8,10-26-26
Sandy,Pulses,102,5,43,6.2,71.2,24.4,53.1,DAP
Black,Rice,53,66,42,6.0,69.2,21.0,66.2,Urea
Red,Groundnut,92,99,35,5.5,50.2,32.6,58.5,17-17-17
Black,Millets,61,81,19,6.6,48.3,29.3,78.6,10-26-26
Red,Cotton,118,53,80,8.1,59.5,28.6,74.1,DAP
Sandy,Groundnut,57,88,83,8.0,35.2,27.5,79.5,Urea
Red,Groundnut,23,34,49,8.0,50.1,25.6,58.1,28-28-0
Red,Maize,48,72,38,6.2,48.6,25.4,75.1,Urea
Sandy,Maize,14,14,95,5.7,41.5,20.1,60.6,28-28-0
Sandy,Chickpea,89,53,13,6.1,39.1,21.7,72.4,10-26-26
Sandy,Rice,47,67,23,8.3,45.7,20.4,48.5,10-26-26
Clayey,Cotton,53,40,14,6.8,69.7,20.2,74.3,10-26-26
Loamy,Sugarcane,60,91,24,8.3,55.8,36.1,55.1,10-26-26
Loamy,Sugarcane,97,23,69,6.3,54.0,37.3,46.4,DAP
Clayey,Chickpea,106,59,88,6.8,32.7,30.4,43.7,DAP
Red,Cotton,119,81,91,8.3,73.3,21.6,53.6,17-17-17
Loamy,Pulses,46,46,63,7.2,59.0,31.3,82.2,20-20-0
Loamy,Cotton,21,73,43,7.6,47.5,20.3,51.6,Urea
Sandy,Maize,8,29,73,5.8,69.1,37.2,50.7,28-28-0
Sandy,Cotton,61,87,16,7.0,59.7,24.1,64.5,10-26-26
Loamy,Maize,36,13,19,8.2,25.7,35.3,76.8,DAP
Red,Millets,69,89,53,7.9,42.1,34.3,65.9,17-17-17
Clayey,Rice,22,50,36,7.0,57.4,24.7,40.4,Urea
Black,Maize,38,75,40,7.2,68.4,22.5,65.6,Urea
Red,Maize,55,39,86,6.2,68.4,28.2,57.8,Urea
Red,Wheat,70,82,26,8.2,41.1,32.4,77.7,17-17-17
Red,Groundnut,11,61,99,5.9,66.1,24.1,44.8,Urea
Red,Wheat,78,83,98,6.7,73.7,23.5,53.9,17-17-17
Red,Rice,107,38,74,6.6,67.5,27.3,40.1,DAP
Sandy,Maize,54,36,71,5.6,67.1,33.3,49.5,Urea
Clayey,Chickpea,17,70,8,6.2,49.2,22.1,43.1,10-26-26
Loamy,Groundnut,81,87,25,5.5,61.1,24.9,74.2,17-17-17
Red,Millets,52,58,39,6.4,47.2,35.7,58.8,Urea
Red,Millets,10,21,40,5.5,62.3,27.8,44.1,28-28-0
Loamy,Millets,56,96,47,6.7,25.5,21.1,71.6,Urea
Black,Sugarcane,88,43,17,7.7,47.3,34.6,53.2,10-26-26
Loamy,Pulses,44,84,49,6.0,70.8,31.9,67.4,Urea
Black,Chickpea,14,38,71,6.0,61.1,24.7,63.3,Urea
Black,Millets,24,61,54,5.9,71.5,28.1,53.3,Urea
Red,Pulses,95,74,42,7.6,68.4,22.4,81.7,17-17-17
Red,Maize,56,37,26,7.2,66.7,22.1,69.0,14-35-14
Sandy,Maize,99,68,14,6.8,29.1,20.6,68.8,10-26-26
Loamy,Maize,17,45,84,7.1,49.4,21.9,66.3,Urea
Red,Wheat,62,31,30,5.7,56.3,35.6,77.3,DAP
Clayey,Groundnut,57,19,30,8.0,44.3,36.2,46.0,DAP
Loamy,Chickpea,7,68,33,6.8,33.5,36.8,78.6,Urea
Black,Cotton,99,50,70,8.0,61.3,20.4,71.4,DAP
Black,Cotton,32,5,29,7.1,50.7,32.3,79.6,DAP
Red,Sugarcane,68,78,73,7.6,66.3,20.7,56.3,17-17-17
Clayey,Pulses,40,89,53,6.3,72.3,28.3,75.3,Urea
Loamy,Sugarcane,94,30,76,7.7,65.8,37.7,69.8,DAP
Black,Wheat,17,84,59,7.6,32.0,21.8,40.5,Urea
Clayey,Wheat,50,93,15,6.8,37.2,32.1,77.0,10-26-26
Loamy,Millets,67,89,68,8.2,30.1,29.9,48.7,17-17-17
Red,Millets,13,19,98,7.1,56.6,29.3,67.3,28-28-0
Red,Sugarcane,108,97,84,7.3,27.9,23.4,48.3,17-17-17
Red,Sugarcane,95,92,81,7.1,74.9,22.0,49.1,17-17-17
Loamy,Chickpea,11,46,40,7.5,62.1,31.3,66.1,Urea
Black,Pulses,91,78,46,7.4,63.0,32.5,53.8,17-17-17
Loamy,Cotton,70,62,86,7.4,53.9,21.9,76.6,17-17-17
Clayey,Groundnut,69,69,85,6.4,67.5,21.0,73.6,17-17-17
Sandy,Rice,79,92,90,7.6,33.3,20.6,66.1,17-17-17
Clayey,Rice,85,58,83,5.9,70.6,33.7,62.5,DAP
Clayey,Pulses,103,17,14,6.8,40.5,30.7,74.0,DAP
Clayey,Maize,7,80,11,6.3,53.2,25.3,56.0,10-26-26
Clayey,Rice,36,8,24,7.3,35.3,23.5,82.6,DAP
Sandy,Maize,116,34,58,6.1,40.1,37.0,70.5,DAP
Loamy,Cotton,55,26,92,5.8,50.7,30.3,63.2,DAP
Sandy,Cotton,54,84,45,8.0,71.2,21.8,47.5,Urea
Clayey,Maize,58,94,89,6.3,56.4,32.2,70.7,Urea
Red,Rice,52,18,63,6.0,74.6,30.3,77.5,DAP
Black,Rice,45,87,86,6.3,69.4,24.1,45.9,Urea
Red,Cotton,110,36,78,7.2,28.9,28.8,49.8,DAP
Sandy,Rice,13,66,61,5.7,37.6,35.7,73.2,Urea
Loamy,Maize,86,61,53,6.6,26.4,24.6,72.4,17-17-17
Black,Groundnut,49,86,62,5.8,54.8,31.7,58.2,Urea
Clayey,Cotton,101,96,56,6.7,28.8,20.1,76.2,17-17-17
Red,Wheat,110,36,37,6.5,74.4,33.9,68.4,DAP
Clayey,Chickpea,30,6,66,5.8,43.9,24.9,76.7,DAP
